Make;Model;Vehicle Class;Engine Size(L);Cylinders;Transmission;Fuel Type;Fuel Consumption City (L/100 km);Fuel Consumption Hwy (L/100 km);Fuel Consumption Comb (L/100 km);Fuel Consumption Comb (mpg);CO2 Emissions(g/km)
GENESIS;G80 AWD;FULL-SIZE;5;8;AS8;Z;15. Jun;10. Apr;13. Feb;21;312
GENESIS;G90 AWD;FULL-SIZE;03. Mar;6;AS8;Z;13. Jul;09. Jul;11. Sep;24;279
GENESIS;G90 AWD;FULL-SIZE;5;8;AS8;Z;15. Feb;10. Feb;13;22;306
GMC;Acadia;SUV - STANDARD;02. May;4;A6;X;11. Jan;09. Feb;10. Feb;28;237
GMC;Acadia;SUV - STANDARD;03. Jun;6;A6;X;13. Jan;09. Apr;11. Apr;25;268
GMC;Acadia AWD;SUV - STANDARD;02. May;4;A6;X;11. Mar;09. Apr;10. May;27;248
GMC;Acadia AWD;SUV - STANDARD;03. Jun;6;A6;X;13. May;09. May;11. Jul;24;275
GMC;Canyon;PICKUP TRUCK - SMALL;02. May;4;A6;X;12. Jan;09. Feb;10. Aug;26;253
GMC;Canyon;PICKUP TRUCK - SMALL;02. May;4;M6;X;11. Sep;09. Feb;10. Jul;26;251
GMC;Canyon;PICKUP TRUCK - SMALL;02. Aug;4;A6;D;11. Aug;07. Sep;10. Jan;28;270
GMC;Canyon;PICKUP TRUCK - SMALL;03. Jun;6;A8;X;13. Apr;09. Jun;11. Jul;24;274
GMC;Canyon 4WD;PICKUP TRUCK - SMALL;02. May;4;A6;X;12. Jul;09. Aug;11. Apr;25;267
GMC;Canyon 4WD;PICKUP TRUCK - SMALL;02. Aug;4;A6;D;12. Feb;08. Apr;10. May;27;283
GMC;Canyon 4WD;PICKUP TRUCK - SMALL;03. Jun;6;A8;X;14;09. Sep;12. Feb;23;286
GMC;Sierra;PICKUP TRUCK - STANDARD;02. Jul;4;A8;X;11. Sep;10. Mar;11. Jan;25;261
GMC;Sierra;PICKUP TRUCK - STANDARD;04. Mar;6;A6;X;15. Jan;11. May;13. May;21;317
GMC;Sierra;PICKUP TRUCK - STANDARD;05. Mar;8;A6;X;15. Sep;11. Apr;13. Sep;20;326
GMC;Sierra FFV;PICKUP TRUCK - STANDARD;05. Mar;8;A6;X;15. Jul;11. Sep;14;20;329
GMC;Sierra FFV;PICKUP TRUCK - STANDARD;05. Mar;8;A6;E;21. Jan;15;18. Apr;15;306
GMC;Sierra;PICKUP TRUCK - STANDARD;05. Mar;8;A8;X;14. Mar;10. Apr;12. May;23;294
GMC;Sierra 4WD;PICKUP TRUCK - STANDARD;02. Jul;4;A8;X;12. Jun;10. Sep;11. Aug;24;277
GMC;Sierra 4WD;PICKUP TRUCK - STANDARD;04. Mar;6;A6;X;15. Aug;11. Sep;14;20;329
GMC;Sierra 4WD;PICKUP TRUCK - STANDARD;05. Mar;8;A6;X;15. Sep;11. Jul;14;20;330
GMC;Sierra 4WD FFV;PICKUP TRUCK - STANDARD;05. Mar;8;A6;X;16;12. May;14. Apr;20;339
GMC;Sierra 4WD FFV;PICKUP TRUCK - STANDARD;05. Mar;8;A6;E;22;16. Jan;19. Apr;15;323
GMC;Sierra 4WD;PICKUP TRUCK - STANDARD;05. Mar;8;A8;X;15. Mar;11. Feb;13. May;21;316
GMC;Sierra 4WD AT4;PICKUP TRUCK - STANDARD;05. Mar;8;A8;X;15. Mar;11. Aug;13. Jul;21;320
GMC;Sierra 4WD;PICKUP TRUCK - STANDARD;06. Feb;8;A10;Z;15. May;11. Sep;13. Sep;20;326
GMC;Sierra 4WD AT4;PICKUP TRUCK - STANDARD;06. Feb;8;A10;Z;15. Jul;12. Apr;14. Feb;20;332
GMC;Sierra LTD;PICKUP TRUCK - STANDARD;05. Mar;8;A6;X;15. Jun;10. Sep;13. May;21;317
GMC;Sierra LTD 4WD;PICKUP TRUCK - STANDARD;05. Mar;8;A6;X;15. Aug;11. Apr;13. Aug;20;325
GMC;Terrain;SUV - SMALL;01. May;4;A9;X;09. Feb;07. Sep;08. Jun;33;201
GMC;Terrain;SUV - SMALL;01. Jun;4;A6;D;08. May;6;07. Apr;38;199
GMC;Terrain AWD;SUV - SMALL;01. May;4;A9;X;09. Jun;08. Mar;9;31;210
GMC;Terrain AWD;SUV - SMALL;01. Jun;4;A6;D;08. May;06. Jan;07. Apr;38;199
GMC;Terrain AWD;SUV - SMALL;2;4;A9;Z;11. Feb;9;10. Feb;28;239
GMC;Yukon;SUV - STANDARD;05. Mar;8;A6;X;15. Jul;10. May;13. Apr;21;314
GMC;Yukon FFV;SUV - STANDARD;05. Mar;8;A6;X;15. Jul;10. May;13. Apr;21;314
GMC;Yukon FFV;SUV - STANDARD;05. Mar;8;A6;E;21. Feb;13. Sep;17. Sep;16;298
GMC;Yukon 4WD;SUV - STANDARD;05. Mar;8;A6;X;15. Aug;11. Jan;13. Jul;21;321
GMC;Yukon 4WD FFV;SUV - STANDARD;05. Mar;8;A6;X;15. Aug;11. Jan;13. Jul;21;321
GMC;Yukon 4WD FFV;SUV - STANDARD;05. Mar;8;A6;E;21. Jul;14. Mar;18. Apr;15;305
GMC;Yukon 4WD;SUV - STANDARD;06. Feb;8;A10;Z;16. Apr;10. Jul;13. Aug;20;325
GMC;Yukon XL;SUV - STANDARD;05. Mar;8;A6;X;15. Jul;10. May;13. Apr;21;314
GMC;Yukon XL FFV;SUV - STANDARD;05. Mar;8;A6;X;15. Jul;10. May;13. Apr;21;314
GMC;Yukon XL FFV;SUV - STANDARD;05. Mar;8;A6;E;21. Feb;13. Sep;17. Sep;16;298
GMC;Yukon XL 4WD;SUV - STANDARD;05. Mar;8;A6;X;16. Aug;11. Mar;14. Mar;20;336
GMC;Yukon XL 4WD FFV;SUV - STANDARD;05. Mar;8;A6;X;16. Aug;11. Mar;14. Mar;20;336
GMC;Yukon XL 4WD FFV;SUV - STANDARD;05. Mar;8;A6;E;22. Feb;15. Feb;19;15;317
GMC;Yukon XL 4WD;SUV - STANDARD;06. Feb;8;A10;Z;17. Jan;11. Mar;14. May;19;340
HONDA;Accord;FULL-SIZE;01. May;4;AV;X;07. Sep;06. Mar;07. Feb;39;168
HONDA;Accord;FULL-SIZE;01. May;4;AV7;X;08. Feb;06. Aug;07. Jun;37;177
HONDA;Accord;FULL-SIZE;01. May;4;M6;X;08. Sep;06. Jul;07. Sep;36;185
HONDA;Accord;FULL-SIZE;2;4;M6;X;10. Jul;07. Mar;09. Feb;31;214
HONDA;Accord Sport/Touring;MID-SIZE;2;4;AS10;X;10. Apr;07. Apr;09. Jan;31;211
HONDA;Accord Hybrid;FULL-SIZE;2;4;AV;X;5;5;5;56;117
HONDA;Civic Coupe;COMPACT;01. May;4;AV7;X;07. Aug;06. Apr;07. Feb;39;167
HONDA;Civic Coupe;COMPACT;2;4;AV;X;07. Aug;06. Jan;07. Jan;40;164
HONDA;Civic Coupe;COMPACT;2;4;AV7;X;08. Mar;06. Jun;07. May;38;176
HONDA;Civic Coupe;COMPACT;2;4;M6;X;09. Mar;06. Jul;08. Jan;35;189
HONDA;Civic Coupe Si;COMPACT;01. May;4;M6;Z;08. Apr;06. Feb;07. Apr;38;173
HONDA;Civic Hatchback;FULL-SIZE;01. May;4;AV;X;07. Jul;6;06. Sep;41;162
HONDA;Civic Hatchback;FULL-SIZE;01. May;4;AV7;X;07. Sep;06. Jun;07. Mar;39;170
HONDA;Civic Hatchback;FULL-SIZE;01. May;4;M6;X;8;06. Feb;07. Feb;39;167
HONDA;Civic Hatchback Sport;FULL-SIZE;01. May;4;AV7;Z;07. Sep;06. Jun;07. Mar;39;170
HONDA;Civic Hatchback Sport;FULL-SIZE;01. May;4;M6;Z;8;06. Feb;07. Feb;39;167
HONDA;Civic Sedan;MID-SIZE;01. May;4;AV7;X;07. Aug;06. Feb;07. Jan;40;165
HONDA;Civic Sedan;MID-SIZE;2;4;AV;X;07. Sep;06. Jan;07. Jan;40;167
HONDA;Civic Sedan;MID-SIZE;2;4;M6;X;09. Mar;06. May;8;35;186
HONDA;Civic Sedan Si;MID-SIZE;01. May;4;M6;Z;08. Apr;06. Feb;07. Apr;38;173
HONDA;Civic Type R;FULL-SIZE;2;4;M6;Z;10. Jun;08. Mar;09. Jun;29;224
HONDA;CR-V;SUV - SMALL;01. May;4;AV;X;08. Apr;7;07. Aug;36;181
HONDA;CR-V AWD;SUV - SMALL;01. May;4;AV;X;08. Jul;07. Feb;8;35;188
HONDA;Fit;STATION WAGON - SMALL;01. May;4;AV;X;7;05. Sep;06. May;43;151
HONDA;Fit;STATION WAGON - SMALL;01. May;4;AV7;X;07. Jun;06. May;7;40;166
HONDA;Fit;STATION WAGON - SMALL;01. May;4;M6;X;08. Jan;06. Jun;07. Apr;38;174
HONDA;HR-V;STATION WAGON - SMALL;01. Aug;4;AV;X;08. Apr;7;07. Aug;36;181
HONDA;HR-V AWD;STATION WAGON - SMALL;01. Aug;4;AV;X;08. Aug;07. May;08. Feb;34;193
HONDA;HR-V AWD;STATION WAGON - SMALL;01. Aug;4;AV7;X;09. Jan;07. Jul;08. May;33;199
HONDA;Insight EX;MID-SIZE;01. May;4;AV;X;04. Jun;05. Mar;04. Sep;58;114
HONDA;Insight Touring;MID-SIZE;01. May;4;AV;X;04. Jun;05. Mar;04. Sep;58;114
HONDA;Odyssey;MINIVAN;03. May;6;AS9;X;12. Jun;08. Apr;10. Jul;26;252
HONDA;Odyssey Touring;MINIVAN;03. May;6;AS10;X;12. Feb;08. May;10. Jun;27;247
HONDA;Passport AWD;SUV - SMALL;03. May;6;A9;X;12. May;09. Aug;11. Mar;25;265
HONDA;Pilot;SUV - SMALL;03. May;6;A6;X;12. Apr;08. Jul;10. Jul;26;250
HONDA;Pilot AWD;SUV - SMALL;03. May;6;A6;X;13;09. Mar;11. Mar;25;266
HONDA;Pilot AWD;SUV - SMALL;03. May;6;AS9;X;12. Apr;09. Mar;11;26;257
HONDA;Ridgeline AWD;PICKUP TRUCK - STANDARD;03. May;6;A6;X;12. Aug;09. May;11. Mar;25;263
HYUNDAI;Accent;COMPACT;01. Jun;4;AS6;X;08. Feb;06. Feb;07. Mar;39;172
HYUNDAI;Accent;COMPACT;01. Jun;4;M6;X;08. Feb;06. Mar;07. Mar;39;173
HYUNDAI;Elantra;MID-SIZE;01. Jun;4;AM7;X;08. Sep;7;08. Jan;35;189
HYUNDAI;Elantra;MID-SIZE;01. Jun;4;M6;X;10. Jul;07. Aug;09. Apr;30;221
HYUNDAI;Elantra;MID-SIZE;2;4;AS6;X;08. Mar;06. Apr;07. Apr;38;174
HYUNDAI;Elantra;MID-SIZE;2;4;M6;X;09. Feb;06. May;8;35;188
HYUNDAI;Elantra GT;FULL-SIZE;01. Jun;4;AM7;X;09. Jul;07. Apr;08. Jun;33;205
HYUNDAI;Elantra GT;FULL-SIZE;01. Jun;4;M6;X;10. Mar;07. Sep;09. Feb;31;218
HYUNDAI;Elantra GT;FULL-SIZE;2;4;AS6;X;09. Apr;07. Jan;08. Apr;34;200
HYUNDAI;Elantra GT;FULL-SIZE;2;4;M6;X;09. Aug;07. Apr;08. Jul;32;207
HYUNDAI;IONIQ;FULL-SIZE;01. Jun;4;AM6;X;04. Mar;04. Apr;04. Mar;66;104
HYUNDAI;IONIQ Blue;FULL-SIZE;01. Jun;4;AM6;X;04. Feb;4;04. Jan;69;96
HYUNDAI;Kona;SUV - SMALL;2;4;AS6;X;08. Jun;7;07. Sep;36;186
HYUNDAI;Kona AWD;SUV - SMALL;01. Jun;4;AM7;X;9;8;08. Jun;33;201
HYUNDAI;Kona AWD;SUV - SMALL;2;4;AS6;X;09. Feb;07. Aug;08. Jun;33;202
HYUNDAI;Santa Fe;SUV - SMALL;02. Apr;4;AS8;X;10. Aug;8;09. Jun;29;225
HYUNDAI;Santa Fe AWD;SUV - SMALL;2;4;AS8;X;12. Mar;09. Aug;11. Feb;25;262
HYUNDAI;Santa Fe AWD;SUV - SMALL;02. Apr;4;AS8;X;11. Feb;08. Jul;10. Jan;28;237
HYUNDAI;Santa Fe XL;SUV - SMALL;03. Mar;6;AS6;X;13. Feb;09. Apr;11. May;25;268
HYUNDAI;Santa Fe XL AWD;SUV - SMALL;03. Mar;6;AS6;X;13. Apr;09. Jul;11. Jul;24;276
HYUNDAI;Santa Fe XL Ultimate AWD;SUV - SMALL;03. Mar;6;AS6;X;14. Jan;10. Aug;12. Jun;22;297
HYUNDAI;Sonata;FULL-SIZE;2;4;AS8;X;10. Apr;07. Apr;09. Jan;31;212
HYUNDAI;Sonata;FULL-SIZE;02. Apr;4;AS6;X;09. Mar;07. Jan;08. Mar;34;198
HYUNDAI;Sonata SE;FULL-SIZE;02. Apr;4;AS6;X;09. Feb;06. Aug;08. Jan;35;190
HYUNDAI;Sonata Hybrid;MID-SIZE;2;4;AM6;X;6;05. Mar;05. Jul;50;135
HYUNDAI;Sonata Hybrid SE;MID-SIZE;2;4;AM6;X;05. Sep;05. Jan;05. Jun;50;132
HYUNDAI;Tucson;SUV - SMALL;2;4;AS6;X;10;07. Sep;09. Jan;31;216
HYUNDAI;Tucson AWD;SUV - SMALL;2;4;AS6;X;10. Aug;09. Feb;10. Jan;28;239
HYUNDAI;Tucson AWD;SUV - SMALL;02. Apr;4;AS6;X;11;09. Jan;10. Jan;28;240
HYUNDAI;Veloster;COMPACT;2;4;AS6;X;09. Jan;07. Jan;08. Feb;34;193
HYUNDAI;Veloster;COMPACT;2;4;M6;X;09. Apr;07. Jan;08. Apr;34;198
HYUNDAI;Veloster N;COMPACT;2;4;M6;X;10. Jun;08. Mar;09. May;30;226
HYUNDAI;Veloster Turbo;COMPACT;01. Jun;4;AM7;X;08. May;06. Sep;07. Aug;36;184
HYUNDAI;Veloster Turbo;COMPACT;01. Jun;4;M6;X;09. Apr;7;08. Mar;34;197
INFINITI;Q50 AWD;MID-SIZE;2;4;AS7;Z;10. Jul;08. Jun;09. Jul;29;229
INFINITI;Q50 AWD;MID-SIZE;3;6;AS7;Z;12. Apr;08. Jul;10. Aug;26;253
INFINITI;Q50 AWD Red Sport;MID-SIZE;3;6;AS7;Z;12. May;09. Mar;11. Jan;25;261
INFINITI;Q60 AWD;SUBCOMPACT;2;4;AS7;Z;11. Feb;08. May;10;28;233
INFINITI;Q60 AWD;SUBCOMPACT;3;6;AS7;Z;12. Mar;08. Jul;10. Jul;26;251
INFINITI;Q60 AWD Red Sport;SUBCOMPACT;3;6;AS7;Z;12. May;09. Feb;11;26;259
INFINITI;Q70 AWD;MID-SIZE;03. Jul;6;AS7;Z;13. Feb;09. Aug;11. Jul;24;275
INFINITI;Q70 AWD;MID-SIZE;05. Jun;8;AS7;Z;14. Sep;10. Feb;12. Aug;22;301
INFINITI;QX50 AWD;SUV - SMALL;2;4;AV8;Z;10;07. Aug;9;31;211
INFINITI;QX60 AWD;SUV - SMALL;03. May;6;AV7;Z;12. May;9;10. Sep;26;257
INFINITI;QX80 4WD;SUV - STANDARD;05. Jun;8;AS7;Z;17. Apr;12. Feb;15. Jan;19;354
JAGUAR;E-PACE P250;SUV - SMALL;2;4;AS9;Z;11;08. Apr;09. Aug;29;231
JAGUAR;F-PACE 20d;SUV - SMALL;2;4;AS8;D;08. Sep;07. Feb;08. Jan;35;218
JAGUAR;F-PACE 25t;SUV - SMALL;2;4;AS8;Z;10. Jul;08. Aug;09. Sep;29;227
JAGUAR;F-PACE 35t;SUV - SMALL;3;6;AS8;Z;13. Mar;10;11. Aug;24;277
JAGUAR;F-TYPE Convertible;TWO-SEATER;2;4;AS8;Z;10. Feb;07. Aug;09. Feb;31;215
JAGUAR;F-TYPE Convertible;TWO-SEATER;3;6;AS8;Z;11. Sep;08. May;10. Apr;27;242
JAGUAR;F-TYPE Convertible;TWO-SEATER;3;6;M6;Z;14. Sep;09. Aug;12. Jun;22;296
JAGUAR;F-TYPE Convertible R-Dynamic;TWO-SEATER;3;6;AS8;Z;12. Apr;08. Aug;10. Aug;26;253
JAGUAR;F-TYPE Convertible R-Dynamic;TWO-SEATER;3;6;M6;Z;15. Mar;10;12. Sep;22;302
JAGUAR;F-TYPE Convertible R-Dynamic AWD;TWO-SEATER;3;6;AS8;Z;13;09. Feb;11. Mar;25;265
JAGUAR;F-TYPE Coupe;TWO-SEATER;2;4;AS8;Z;10. Feb;07. Aug;09. Feb;31;215
JAGUAR;F-TYPE Coupe;TWO-SEATER;3;6;AS8;Z;11. Sep;08. May;10. Apr;27;242
JAGUAR;F-TYPE Coupe;TWO-SEATER;3;6;M6;Z;14. Sep;09. Aug;12. Jun;22;296
JAGUAR;F-TYPE Coupe R-Dynamic;TWO-SEATER;3;6;AS8;Z;12. Apr;08. Aug;10. Aug;26;253
JAGUAR;F-TYPE Coupe R-Dynamic;TWO-SEATER;3;6;M6;Z;15. Mar;10;12. Sep;22;302
JAGUAR;F-TYPE Coupe R-Dynamic AWD;TWO-SEATER;3;6;AS8;Z;13;09. Feb;11. Mar;25;265
JAGUAR;F-TYPE R AWD Convertible;TWO-SEATER;5;8;AS8;Z;15. Jun;10. Apr;13. Mar;21;311
JAGUAR;F-TYPE R AWD Coupe;TWO-SEATER;5;8;AS8;Z;15. Jun;10. Apr;13. Mar;21;311
JAGUAR;XE 20d AWD;COMPACT;2;4;AS8;D;07. Aug;05. Aug;06. Sep;41;186
JAGUAR;XE 25t AWD;COMPACT;2;4;AS8;Z;09. Aug;06. Sep;08. May;33;200
JAGUAR;XE 35t AWD;COMPACT;3;6;AS8;Z;11. Aug;08. Feb;10. Feb;28;238
JAGUAR;XF 20d AWD;MID-SIZE;2;4;AS8;D;07. Aug;05. Aug;06. Sep;41;186
JAGUAR;XF 25t AWD;MID-SIZE;2;4;AS8;Z;10. Jan;07. Feb;08. Aug;32;207
JAGUAR;XF 35t AWD;MID-SIZE;3;6;AS8;Z;12;08. Apr;10. Apr;27;243
JAGUAR;XJ R-Sport AWD;FULL-SIZE;3;6;AS8;Z;14;9;11. Aug;24;276
JAGUAR;XJL Portfolio AWD;FULL-SIZE;3;6;AS8;Z;14;09. Apr;11. Sep;24;280
JAGUAR;XJR LWB;FULL-SIZE;5;8;AS8;Z;15. Aug;10. Mar;13. Mar;21;313
JEEP;Cherokee;SUV - SMALL;2;4;A9;X;10. Apr;07. Jun;09. Jan;31;214
JEEP;Cherokee;SUV - SMALL;02. Apr;4;A9;X;10. Aug;07. Jun;09. Mar;30;219
JEEP;Cherokee;SUV - SMALL;03. Feb;6;A9;X;11. Sep;08. Feb;10. Feb;28;240
JEEP;Cherokee 4X4 Active Drive I;SUV - SMALL;2;4;A9;X;11. Feb;8;09. Aug;29;229
JEEP;Cherokee 4X4 Active Drive I;SUV - SMALL;02. Apr;4;A9;X;11. Feb;8;09. Aug;29;230
JEEP;Cherokee 4X4 Active Drive I;SUV - SMALL;03. Feb;6;A9;X;12. Feb;08. Jun;10. Jun;27;249
JEEP;Cherokee 4X4 Active Drive II;SUV - SMALL;2;4;A9;X;11. May;08. Jun;10. Feb;28;240
JEEP;Cherokee 4X4 Active Drive II;SUV - SMALL;03. Feb;6;A9;X;12. Aug;9;11. Jan;25;259
JEEP;Cherokee 4X4 Active Drive Lock;SUV - SMALL;2;4;A9;X;11. Aug;09. Feb;10. Jun;27;249
JEEP;Cherokee 4X4 Active Drive Lock;SUV - SMALL;03. Feb;6;A9;X;12. Sep;09. Sep;11. Jun;24;269
JEEP;Compass;SUV - SMALL;02. Apr;4;A6;X;10. Jun;07. Jun;09. Mar;30;218
JEEP;Compass;SUV - SMALL;02. Apr;4;M6;X;10. Apr;07. Mar;9;31;211
JEEP;Compass 4X4;SUV - SMALL;02. Apr;4;A9;X;10. Aug;07. Aug;09. May;30;222
JEEP;Compass 4X4;SUV - SMALL;02. Apr;4;M6;X;10. Aug;07. Jun;09. Apr;30;221
JEEP;Grand Cherokee 4X4;SUV - STANDARD;03. Jun;6;A8;X;12. Jul;09. Jun;11. Mar;25;265
JEEP;Grand Cherokee 4X4;SUV - STANDARD;05. Jul;8;A8;X;16. Jul;10. Sep;14. Jan;20;331
JEEP;Grand Cherokee 4X4 EcoDiesel;SUV - STANDARD;3;6;A8;D;11. Feb;08. May;10;28;268
JEEP;Grand Cherokee 4X4 SRT;SUV - STANDARD;06. Apr;8;A8;Z;18. Mar;12. Jun;15. Jul;18;368
JEEP;Grand Cherokee 4X4 Trackhawk;SUV - STANDARD;06. Feb;8;A8;Z;20. Sep;13. Aug;17. Jul;16;413
JEEP;Renegade;SUV - SMALL;01. Mar;4;A9;X;09. Aug;07. Apr;08. Jul;32;204
JEEP;Renegade;SUV - SMALL;02. Apr;4;A9;X;10. Aug;07. Aug;09. May;30;222
JEEP;Renegade 4X4;SUV - SMALL;01. Mar;4;A9;X;10. Jan;08. Jan;09. Feb;31;216
JEEP;Renegade 4X4;SUV - SMALL;02. Apr;4;A9;X;11. Feb;08. Feb;09. Aug;29;230
JEEP;Renegade 4X4 Trailhawk;SUV - SMALL;01. Mar;4;A9;X;10. Aug;08. Jul;09. Sep;29;230
JEEP;Wrangler JL 4X4;SUV - SMALL;2;4;A8;X;10. May;09. Apr;10;28;233
JEEP;Wrangler JL 4X4;SUV - SMALL;03. Jun;6;A8;X;12. Aug;10. Apr;11. Aug;24;274
JEEP;Wrangler JL 4X4;SUV - SMALL;03. Jun;6;M6;X;13. Jul;09. Jun;11. Aug;24;277
JEEP;Wrangler JL Unlimited 4X4;SUV - SMALL;2;4;A8;X;10. Sep;10;10. May;27;245
JEEP;Wrangler JL Unlimited 4X4;SUV - SMALL;03. Jun;6;A8;X;12. Sep;10. Feb;11. Jul;24;275
JEEP;Wrangler JL Unlimited 4X4;SUV - SMALL;03. Jun;6;M6;X;13. Aug;10. Jan;12. Feb;23;285
KIA;Cadenza;FULL-SIZE;03. Mar;6;AS8;X;11. Jun;08. May;10. Feb;28;238
KIA;Forte;MID-SIZE;2;4;AV;X;07. Jul;05. Sep;06. Sep;41;164
KIA;Forte;MID-SIZE;2;4;M6;X;08. Jun;06. Apr;07. Jun;37;180
KIA;Niro;STATION WAGON - SMALL;01. Jun;4;AM6;X;04. Jun;05. Jan;04. Aug;59;114
KIA;Niro FE;STATION WAGON - SMALL;01. Jun;4;AM6;X;04. May;04. Aug;04. Jul;60;110
KIA;Niro Touring;STATION WAGON - SMALL;01. Jun;4;AM6;X;05. Jan;05. Aug;05. Apr;52;129
KIA;Optima;FULL-SIZE;2;4;AS6;X;11. Feb;07. Sep;09. Jul;29;230
KIA;Optima;FULL-SIZE;02. Apr;4;AS6;X;09. May;07. Jan;08. Apr;34;199
KIA;Optima Hybrid;MID-SIZE;2;4;AM6;X;06. Jan;05. Feb;05. Jul;50;133
KIA;Rio;COMPACT;01. Jun;4;AS6;X;08. May;06. Apr;07. May;38;177
KIA;Rio;COMPACT;01. Jun;4;M6;X;08. Mar;06. Apr;07. May;38;175
KIA;Sedona;MINIVAN;03. Mar;6;AS8;X;12. Jul;10;11. May;25;272
KIA;Sorento;SUV - SMALL;02. Apr;4;AS6;X;10. Jul;08. Feb;09. Jun;29;225
KIA;Sorento AWD;SUV - SMALL;02. Apr;4;AS6;X;11. Feb;9;10. Feb;28;242
KIA;Sorento AWD;SUV - SMALL;03. Mar;6;AS8;X;12. May;09. Jul;11. Feb;25;265
KIA;Soul;STATION WAGON - SMALL;01. Jun;4;AM7;X;09. Jan;07. Jul;08. May;33;199
KIA;Soul;STATION WAGON - SMALL;01. Jun;4;AS6;X;9;07. Jun;08. Apr;34;198
KIA;Soul;STATION WAGON - SMALL;2;4;AS6;X;09. May;07. Aug;08. Jul;32;206
KIA;Sportage;SUV - SMALL;02. Apr;4;AS6;X;10. Mar;07. Aug;09. Feb;31;218
KIA;Sportage AWD;SUV - SMALL;2;4;AS6;X;11. Sep;10. Feb;11. Jan;25;263
KIA;Sportage AWD;SUV - SMALL;02. Apr;4;AS6;X;11. Mar;09. May;10. May;27;247
KIA;Stinger AWD;MID-SIZE;2;4;AS8;Z;11. Jan;08. Jan;09. Jul;29;229
KIA;Stinger AWD;MID-SIZE;03. Mar;6;AS8;Z;13. Jun;09. Jun;11. Aug;24;279
LAMBORGHINI;Aventador Coupe;TWO-SEATER;06. May;12;AM7;Z;26. Mar;15. Jun;21. May;13;487
LAMBORGHINI;Aventador Roadster;TWO-SEATER;06. May;12;AM7;Z;26. Jun;15. Aug;21. Jul;13;493
LAMBORGHINI;Huracan Coupe;TWO-SEATER;05. Feb;10;AM7;Z;18. Jan;13. Feb;15. Sep;18;366
LAMBORGHINI;Huracan Coupe AWD;TWO-SEATER;05. Feb;10;AM7;Z;17. Sep;13;15. Jul;18;370
LAMBORGHINI;Huracan Spyder;TWO-SEATER;05. Feb;10;AM7;Z;18. Jan;13. Feb;15. Sep;18;366
LAMBORGHINI;Huracan Spyder AWD;TWO-SEATER;05. Feb;10;AM7;Z;17. Sep;13;15. Jul;18;370
LAMBORGHINI;Huracan Performante Coupe;TWO-SEATER;05. Feb;10;AM7;Z;17. Sep;13;15. Jul;18;370
LAMBORGHINI;Huracan Performante Spyder;TWO-SEATER;05. Feb;10;AM7;Z;17. Sep;13;15. Jul;18;370
LAMBORGHINI;Urus;SUV - STANDARD;4;8;AS8;Z;19. Feb;14. Jan;16. Sep;17;384
LAND ROVER;Discovery;SUV - STANDARD;3;6;AS8;Z;14. Aug;11. Apr;13. Mar;21;311
LAND ROVER;Discovery TD6 Diesel;SUV - STANDARD;3;6;AS8;D;11. Mar;09. Feb;10. Apr;27;279
LAND ROVER;Discovery Sport;SUV - SMALL;2;4;AS9;Z;11. Apr;09. Mar;10. May;27;246
LAND ROVER;Range Rover 3.0;SUV - STANDARD;3;6;AS8;Z;14. Jan;10. Mar;12. Apr;23;291
LAND ROVER;Range Rover TD6 Diesel;SUV - STANDARD;3;6;AS8;D;10. Jul;08. Mar;09. Jun;29;256
LAND ROVER;Range Rover 5.0 Supercharged;SUV - STANDARD;5;8;AS8;Z;14. Apr;11. Mar;13;22;305
LAND ROVER;Range Rover SVAutobiography LWB;SUV - STANDARD;5;8;AS8;Z;17. Sep;12. Jul;15. May;18;365
LAND ROVER;Range Rover Sport 3.0;SUV - STANDARD;3;6;AS8;Z;14. Jan;10. Mar;12. Apr;23;291
LAND ROVER;Range Rover Sport TD6 Diesel;SUV - STANDARD;3;6;AS8;D;10. Jul;08. Mar;09. Jun;29;256
LAND ROVER;Range Rover Sport Supercharged;SUV - STANDARD;5;8;AS8;Z;14. Jan;10. Jul;12. Jun;22;294
LAND ROVER;Range Rover Evoque;SUV - SMALL;2;4;AS9;Z;10. Sep;8;09. Jun;29;225
LAND ROVER;Range Rover Evoque Convertible;SUV - SMALL;2;4;AS9;Z;11. Feb;08. Feb;09. Aug;29;231
LAND ROVER;Range Rover Velar D180;SUV - SMALL;2;4;AS8;D;09. Feb;07. Aug;08. May;33;229
LAND ROVER;Range Rover Velar P300;SUV - SMALL;2;4;AS8;Z;11. Jul;09. Feb;10. Jun;27;248
LAND ROVER;Range Rover Velar P380;SUV - SMALL;3;6;AS8;Z;13;10;11. Jun;24;273
LEXUS;ES 300h;MID-SIZE;02. May;4;AV6;X;05. May;05. Feb;05. Mar;53;124
LEXUS;ES 350;MID-SIZE;03. May;6;AS8;X;10. Jun;07. Feb;09. Jan;31;211
LEXUS;ES 350 F SPORT;MID-SIZE;03. May;6;AS8;X;10. Sep;07. May;09. Apr;30;219
LEXUS;GS 350 AWD;MID-SIZE;03. May;6;AS6;Z;12. Mar;09. Jan;10. Sep;26;254
LEXUS;GS F;COMPACT;5;8;AS8;Z;14. Sep;09. Jul;12. May;23;293
LEXUS;GX 460;SUV - STANDARD;04. Jun;8;AS6;Z;16;12. Sep;14. Jun;19;341
LEXUS;IS 300;COMPACT;2;4;AS8;Z;11;07. Jun;09. May;30;220
